player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
206567,Odeta,Naujokaite,U,19790611,LTU,,
206568,Antonina,Grib,U,19780312,BLR,,
206569,Martina,Ondrejkova,U,19790612,SVK,,
206570,Anna,Kazakevitch,U,19780510,BLR,,
206571,Nadia,Chvanova,U,19780120,UKR,,
206572,Zuzana,Demeterova,U,19780324,CZE,,
206573,Alessia,Nikolaeva,U,19810603,BLR,,
206574,Jana,Sokolenko,U,19780809,BLR,,
206575,Galina,Misiuriova,U,19730621,LTU,,Q106874256
206576,Irina,Mourachkintseva,U,19830726,RUS,,
206577,Aleksandra,Kostikova,U,19840408,RUS,,
206578,Natalia,Coronel,U,19840214,ARG,,
206579,Sarah,Tami Masi,R,19840615,PAR,,
206580,Carla,Bastos,U,19811002,BRA,,
206581,Maria Alejandra,Garcia,U,19821229,PAR,,
206582,Vivian,Torrez,U,19830506,BOL,,
206583,Monica,Poveda,U,19790104,BOL,,
206584,Cecilia,Poveda,U,19831001,BOL,,
206585,Andrea,Vargas,U,19860102,BOL,168,
206586,Carolina,Franco,U,19850613,BOL,,
206587,Daniela,Alvarez,U,19831228,BOL,,Q15293933
206588,Vanessa,Flores,U,19820327,BOL,,
206589,Paola,Gonzales,U,19781105,BOL,,
206590,Carolina,Azcui,U,19760301,BOL,,
206591,Maria Rene,Espinosa,U,19780125,BOL,,
206592,Maren,Muller,U,19760817,GER,,
206593,Fiana,Meineck,U,19780331,GER,,
206594,Morya,Peres,U,19790114,BOL,,
206595,Saskia,Meineck,U,19780331,GER,,
206596,Vanessa,De Los Heros,U,19790807,BOL,,
206597,Ana Carola,Guzman,U,19760913,BOL,,
206598,Maria Alejandra,Claure,U,19781230,BOL,,
206599,Renata,Diez,U,19740721,BRA,,
206600,Monica,Ribero,U,19810402,BOL,,
206601,Nanely,Vallejo,U,19781210,PER,,
206602,Silvia,Navarro Orgilles,U,19790929,ESP,,
206603,Natalia,Rojas,U,19810308,CHI,,
206604,Vanessa,Valdivia,U,19840405,BOL,,
206605,Kathleen,Odaly,U,19740511,USA,,
206606,Claudia,Herbas,U,19800304,BOL,,
206607,Pilar,Piana,U,19800215,ECU,,
206608,Florinda,Videa,U,,BOL,,
206609,Vicky,Barker,U,19760923,GBR,,
206610,Kylene,Wong Simunyola,U,19790725,USA,,
206611,Clara,Rios,U,19840128,BOL,,
206612,Teresina,Paz Soldan,U,19830623,BOL,,
206613,Clara,Udofa,U,19780131,NGR,,
206614,Dana,Evans,U,19730725,USA,,
206615,Audra,Brannon,U,19720605,USA,,
206616,Nicole,Kaiser,U,19770714,GER,,
206617,Pia Lena,Ander,U,19760403,SWE,,
206618,Jenny,Rolf,U,19770406,SWE,,
206619,Veronica,Goude,U,19771205,SWE,,
206620,Diana,Mills,U,19730330,ZIM,,
206621,Kelesitse,Makgale,U,19750126,BOT,,
206622,Tracee,Lee,U,19731009,USA,,
206623,Paula,Astrini,U,19731101,BRA,,
206624,Ana Maria,Viera Teixtera,U,19800706,BRA,,
206625,Marcela,Demilio,U,19741202,ARG,,
